%-) (Verb) 	User has been staring at a green screen for 15 hours straight.
(-: (Verb) 	User is left handed.
(:I (Verb) 	User is an egghead.
*<:-) (Verb) 	User is wearing a Santa Claus Hat.
+-:-) (Verb) 	User is the Pope or holds some other religious office.
,-) (Verb) 	Ditto...but he's winking.
,:-) (Verb) 	Same thing...other side.
-6% (Verb) 	User is braindead.
-:-( (Verb) 	Real punk rockers don't smile.
-:-) (Verb) 	User is a punk rocker.
-=* (Verb)  :-)	User is a TeX wizard.
.-) (Verb) 	User only has one eye.
2MFM (Verb) 	To much for me
2U2 (Verb) 	To you too
3:[ (Verb) 	Mean Pet smiley.
3:] (Verb) 	Pet smiley.
4AYN (Verb) 	For all you know
4COL (Verb) 	For crying out loud
4SALE (Verb) 	For sale
4U (Verb) 	For you
8 (Verb)  :-)	User is a wizard.
8 (Verb)  :-I	Net.unix-wizards
8-) (Verb) 	User is wearing sunglasses.
8:-) (Verb) 	User is a little girl.
:'-( (Verb) 	User is crying.
:'-) (Verb) 	User is so happy, s/he is crying.
:( (Verb) 	Sad.
:) (Verb) 	Happy.
:* (Verb) 	Kisses.
:*) (Verb) 	User is drunk.
:,( (Verb) 	Crying.
:-# (Verb) 	User wears braces.
:-& (Verb) 	User is tongue tied.
:-( (Verb) 	boo hoo
:-) (Verb) 	ha ha
:-)-8 (Verb) 	User is a Big girl.
:-)~ (Verb) 	User drools.
:-* (Verb) 	User just ate something sour.
:-/ (Verb) 	User is skeptical.
:-0 (Verb) 	No Yelling!(Quiet Lab)
:-7 (Verb) 	User juust made a wry statement.
:-9 (Verb) 	User is licking his/her lips.
:-: (Verb) 	Mutant smiley; the invisible smiley.
:-> (Verb) 	hey hey
:-? (Verb) 	User smokes a pipe.
:-@ (Verb) 	User is screaming.
:-C (Verb) 	User is really bummed.
:-D (Verb) 	User is laughing (at you!)
:-E (Verb) 	Bucktoothed vampire.
:-F (Verb) 	Bucktoothed vampire with one tooth missing.
:-I (Verb) 	hmmm
:-O (Verb) 	oops
:-P (Verb) 	nyahhhh!
:-Q (Verb) 	User is a smoker.
:-S (Verb) 	User just made an incoherent statement.
:-X (Verb) 	User's lips are sealed.
:-[ (Verb) 	User is a vampire.
:-` (Verb) 	User spitting out its chewing tobacco.
:-{) (Verb) 	User has a mustache.
